Time Azimut Altitude
06:45 97.50 -0.67
07:00 95.41 2.02
07:15 93.32 4.99
07:30 91.24 8.04
07:45 89.15 11.12
08:00 87.03 14.22
08:15 84.88 17.31
08:30 82.67 20.39
08:45 80.39 23.46
09:00 78.02 26.52
09:15 75.55 29.54
09:30 72.95 32.53
09:45 70.19 35.48
10:00 67.25 38.38
10:15 64.08 41.21
10:30 60.66 43.97
10:45 56.94 46.63
11:00 52.86 49.17
11:15 48.38 51.58
11:30 43.44 53.81
11:45 38.00 55.84
12:00 32.02 57.62
12:15 25.49 59.12
12:30 18.46 60.28
12:45 11.00 61.07
13:00 3.27 61.45
13:15 355.46 61.41
13:30 347.77 60.95
13:45 340.38 60.09
14:00 333.44 58.87
14:15 327.01 57.32
14:30 321.12 55.49
14:45 315.78 53.42
15:00 310.92 51.15
15:15 306.52 48.72
15:30 302.52 46.15
15:45 298.85 43.47
16:00 295.48 40.70
16:15 292.36 37.85
16:30 289.46 34.94
16:45 286.73 31.98
17:00 284.16 28.98
17:15 281.71 25.95
17:30 279.36 22.89
17:45 277.10 19.81
18:00 274.91 16.72
18:15 272.76 13.62
18:30 270.66 10.53
18:45 268.57 7.44
19:00 266.50 4.39
19:15 264.42 1.46
19:30 262.33 -1.25
